hour,irradiance_w_m2,pv_generation_kw,pv_capacity_kw,performance_ratio,scenario_month,generation_type
1,32.76041666666667,2.620833333333334,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
2,59.56597222222222,4.765277777777778,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
3,101.61458333333331,8.129166666666666,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
4,152.79513888888886,12.22361111111111,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
5,219.28819444444443,17.543055555555554,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
6,301.9270833333333,24.154166666666665,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
7,389.04513888888886,31.12361111111111,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
8,473.9236111111111,37.913888888888884,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
9,552.9340277777778,44.234722222222224,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
10,625.8506944444445,50.06805555555556,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
11,667.9861111111111,53.43888888888888,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
12,684.2881944444445,54.74305555555556,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
13,678.6805555555555,54.29444444444445,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
14,653.4027777777778,52.27222222222222,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
15,598.4722222222222,47.87777777777778,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
16,522.1875,41.775000000000006,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
17,438.21180555555554,35.05694444444445,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
18,350.81597222222223,28.06527777777778,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
19,265.67708333333337,21.254166666666674,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
20,191.44097222222223,15.315277777777778,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
21,123.80208333333334,9.904166666666669,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
22,72.62152777777777,5.809722222222223,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
23,35.12152777777778,2.8097222222222227,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
24,21.5625,1.725,100.0,0.8,December,HISTORICAL_CLIMATOLOGY_SCENARIO
