year,month,source_hour,irradiance_w_m2,pv_capacity_kw,performance_ratio,availability_factor,pv_generation_kw,generation_type
1985,1,2,11.38888888888889,100.0,0.8,1.0,0.9111111111111111,MODELED_SCENARIO
1985,1,3,44.16666666666666,100.0,0.8,1.0,3.533333333333333,MODELED_SCENARIO
1985,1,4,123.88888888888889,100.0,0.8,1.0,9.911111111111111,MODELED_SCENARIO
1985,1,5,200.0,100.0,0.8,1.0,16.0,MODELED_SCENARIO
1985,1,6,270.8333333333333,100.0,0.8,1.0,21.666666666666668,MODELED_SCENARIO
1985,1,7,368.33333333333337,100.0,0.8,1.0,29.46666666666667,MODELED_SCENARIO
1985,1,8,449.44444444444446,100.0,0.8,1.0,35.95555555555556,MODELED_SCENARIO
1985,1,9,548.6111111111111,100.0,0.8,1.0,43.888888888888886,MODELED_SCENARIO
1985,1,10,618.0555555555555,100.0,0.8,1.0,49.44444444444445,MODELED_SCENARIO
1985,1,11,667.7777777777777,100.0,0.8,1.0,53.42222222222222,MODELED_SCENARIO
1985,1,12,700.5555555555554,100.0,0.8,1.0,56.04444444444444,MODELED_SCENARIO
1985,1,13,675.8333333333333,100.0,0.8,1.0,54.06666666666666,MODELED_SCENARIO
1985,1,14,637.7777777777777,100.0,0.8,1.0,51.02222222222221,MODELED_SCENARIO
1985,1,15,578.0555555555555,100.0,0.8,1.0,46.24444444444445,MODELED_SCENARIO
1985,1,16,486.1111111111111,100.0,0.8,1.0,38.888888888888886,MODELED_SCENARIO
1985,1,17,404.72222222222223,100.0,0.8,1.0,32.37777777777778,MODELED_SCENARIO
1985,1,18,312.5,100.0,0.8,1.0,25.0,MODELED_SCENARIO
1985,1,19,223.0555555555556,100.0,0.8,1.0,17.84444444444445,MODELED_SCENARIO
1985,1,20,142.22222222222223,100.0,0.8,1.0,11.377777777777778,MODELED_SCENARIO
1985,1,21,83.88888888888889,100.0,0.8,1.0,6.711111111111112,MODELED_SCENARIO
1985,1,22,45.0,100.0,0.8,1.0,3.6,MODELED_SCENARIO
1985,1,23,23.05555555555556,100.0,0.8,1.0,1.844444444444445,MODELED_SCENARIO
1985,1,24,9.999999999999998,100.0,0.8,1.0,0.7999999999999999,MODELED_SCENARIO
1985,2,1,2.2222222222222223,100.0,0.8,1.0,0.17777777777777778,MODELED_SCENARIO
1985,2,2,4.999999999999999,100.0,0.8,1.0,0.39999999999999997,MODELED_SCENARIO
1985,2,3,11.944444444444445,100.0,0.8,1.0,0.9555555555555556,MODELED_SCENARIO
