year,month,source_hour,radiation_mj_m2,irradiance_w_m2
1985,1,2,0.041,11.38888888888889
1985,1,3,0.159,44.166666666666664
1985,1,4,0.446,123.88888888888889
1985,1,5,0.72,200.0
1985,1,6,0.975,270.8333333333333
1985,1,7,1.326,368.33333333333337
1985,1,8,1.618,449.44444444444446
1985,1,9,1.975,548.6111111111111
1985,1,10,2.225,618.0555555555555
1985,1,11,2.404,667.7777777777777
1985,1,12,2.522,700.5555555555554
1985,1,13,2.433,675.8333333333333
1985,1,14,2.296,637.7777777777777
1985,1,15,2.081,578.0555555555555
1985,1,16,1.75,486.1111111111111
1985,1,17,1.457,404.72222222222223
1985,1,18,1.125,312.5
1985,1,19,0.803,223.05555555555557
1985,1,20,0.512,142.22222222222223
1985,1,21,0.302,83.88888888888889
1985,1,22,0.162,45.0
1985,1,23,0.083,23.055555555555557
1985,1,24,0.036,9.999999999999998
1985,2,1,0.008,2.2222222222222223
1985,2,2,0.018,4.999999999999999
1985,2,3,0.043,11.944444444444443
1985,2,4,0.142,39.44444444444444
1985,2,5,0.308,85.55555555555556
1985,2,6,0.544,151.11111111111111
1985,2,7,0.863,239.7222222222222
1985,2,8,1.209,335.83333333333337
1985,2,9,1.5,416.66666666666663
1985,2,10,1.775,493.05555555555554
1985,2,11,2.014,559.4444444444443
1985,2,12,2.161,600.2777777777778
1985,2,13,2.085,579.1666666666666
1985,2,14,1.944,540.0
1985,2,15,1.709,474.72222222222223
1985,2,16,1.399,388.6111111111111
1985,2,17,1.105,306.94444444444446
1985,2,18,0.828,229.99999999999997
1985,2,19,0.499,138.61111111111111
1985,2,20,0.286,79.44444444444444
1985,2,21,0.137,38.05555555555556
1985,2,22,0.076,21.11111111111111
1985,2,23,0.04,11.11111111111111
1985,2,24,0.024,6.666666666666667
1985,3,1,0.0,0.0
1985,3,2,0.0,0.0
1985,3,3,0.0,0.0
1985,3,4,0.0,0.0
1985,3,5,0.002,0.5555555555555556
1985,3,6,0.057,15.833333333333334
1985,3,7,0.259,71.94444444444444
1985,3,8,0.578,160.55555555555554
1985,3,9,0.976,271.1111111111111
1985,3,10,1.246,346.1111111111111
1985,3,11,1.557,432.5
1985,3,12,1.689,469.1666666666667
1985,3,13,1.682,467.2222222222222
1985,3,14,1.491,414.1666666666667
1985,3,15,1.246,346.1111111111111
1985,3,16,0.97,269.44444444444446
1985,3,17,0.591,164.16666666666666
1985,3,18,0.266,73.88888888888889
1985,3,19,0.072,19.999999999999996
1985,3,20,0.002,0.5555555555555556
1985,3,21,0.0,0.0
1985,3,22,0.0,0.0
1985,3,23,0.0,0.0
